CO,NO2,O3,SO2,PM2.5,PM10,city,overall_aqi
660.9,91.85,0.15,3.87,19.86,42.17,New Rochelle,106
313.76,17.14,69.38,0.75,4.41,6.41,Arvada,82
333.79,17.65,31.47,0.91,10.54,12.61,North Charleston,34
383.85,21.25,50.07,1.33,25.28,28.82,Grand Rapids,69
647.54,47.3,1.07,1.48,34.62,42.93,Apple Valley,88
236.99,1.52,89.41,0.75,6.45,12.56,Tyler,136
487.33,66.49,14.31,5.42,7.66,12.07,Chino Hills,83
226.97,1.26,78.68,0.17,4.28,11.54,College Station,109
500.68,59.63,25.75,2.56,11.35,17.62,Glen Burnie,74
257.02,4.54,97.28,0.87,7.03,10.47,Fort Worth,155
534.06,62.38,26.82,3.87,14.56,19.19,Boston,77
260.35,13.88,84.4,1.42,5.02,11.25,Deerfield Beach,123
277.04,11.65,84.4,2.53,5.62,9.76,Allen,123
240.33,3.26,77.96,0.67,4.84,13.23,Sugar Land,107
423.91,54.84,32.9,8.23,4.36,8.69,Costa Mesa,68
243.66,4.37,85.83,1.45,4.34,8.97,Mesquite,127
196.93,1.0,89.41,0.08,2.36,12.0,Santa Fe,136
297.07,4.71,103.0,1.79,14.22,17.67,Huntsville,170
243.66,4.93,80.82,0.72,3.84,9.45,Austin,114
220.3,0.56,70.81,0.29,1.31,1.85,Mayagüez,86
453.95,38.04,25.39,1.45,22.25,27.17,Kansas City,63
500.68,56.21,21.64,3.99,23.8,31.7,Gary,70
243.66,4.11,80.11,5.19,5.91,10.44,Mount Pleasant,112
330.45,30.5,61.51,5.42,7.32,9.27,Chino,57
290.39,12.68,68.67,1.06,7.8,11.89,Pine Hills,80
420.57,38.73,40.77,2.8,8.85,13.44,Centreville,48
360.49,27.76,42.56,1.97,3.03,6.07,Berkeley,36
236.99,1.61,100.14,0.29,1.34,1.97,Oceanside,162
467.3,45.93,27.18,2.65,7.64,9.61,Elk Grove,57
230.31,1.71,91.55,0.58,0.5,0.85,Edinburg,141
233.65,4.07,86.55,2.27,1.81,5.18,Birmingham,128
363.83,30.5,31.11,1.55,3.54,7.2,Pleasanton,38
188.59,0.02,28.97,4.89,0.83,0.87,New Britain,24
257.02,1.95,85.12,0.18,2.79,2.82,Bay,125
250.34,4.37,75.1,0.71,7.2,9.08,Lakeland,100
300.41,13.88,79.39,8.58,14.58,15.97,Erie,110
383.85,19.54,40.05,0.44,18.68,20.59,Waterloo,56
714.3,83.63,1.38,1.62,27.71,31.5,Pittsburg,102
240.33,1.63,82.25,0.28,5.48,12.47,Beaumont,118
413.9,20.91,14.13,2.53,29.7,32.71,Orange,78
377.18,19.54,44.35,0.98,18.93,21.71,Iowa City,57
220.3,4.58,67.95,0.1,2.31,4.44,Boulder,77
273.71,7.45,90.12,0.95,2.02,4.08,Newport News,137
323.77,10.11,67.95,0.68,16.56,18.58,Decatur,77
587.46,50.04,2.26,1.03,25.88,34.27,Bolingbrook,70
350.48,25.71,44.35,2.15,2.61,3.35,Gresham,37
293.73,4.5,92.98,1.12,14.13,17.12,Hoover,144
327.11,13.54,29.33,0.18,13.71,16.0,Rock Hill,44
313.76,17.14,69.38,0.75,4.41,6.41,Broomfield,82
270.37,8.48,88.69,1.39,6.37,10.06,Lewisville,134
453.95,47.3,46.49,2.59,12.19,15.06,Centennial,59
353.81,21.42,74.39,3.99,10.56,13.69,Dayton,98
287.06,7.63,70.81,1.01,13.2,15.09,Oklahoma City,86
247.0,4.03,70.1,0.72,1.44,1.84,Saint Cloud,84
417.23,31.53,52.93,3.34,21.5,26.72,Roswell,62
201.94,1.69,84.4,0.14,1.63,2.88,Colorado Springs,123
413.9,40.78,58.65,10.01,21.81,25.6,Detroit,62
347.14,21.94,67.23,7.33,20.82,22.83,Cheektowaga,75
440.6,52.09,22.89,2.89,5.43,9.58,Inglewood,65
208.62,0.7,94.41,0.18,18.61,129.63,Las Cruces,148
250.34,2.91,78.68,0.59,7.76,11.03,Springdale,109
263.69,8.14,68.67,0.07,1.87,2.72,Billings,80
263.69,4.07,67.95,0.81,7.38,11.27,Little Rock,77
327.11,13.54,85.83,1.48,11.84,14.7,Clearwater,127
347.14,20.39,79.39,3.7,13.34,16.2,Cleveland,110
233.65,1.48,82.97,0.76,4.73,13.97,Corpus Christi,119
560.76,16.28,11.27,0.35,28.05,34.4,Parma,75
267.03,8.57,89.41,1.45,5.72,9.6,Carrollton,136
647.54,87.05,0.66,4.53,14.66,24.24,Pasadena,104
407.22,21.25,44.7,0.72,18.98,22.04,Johnson City,57
467.3,45.93,27.18,2.65,7.64,9.61,Rancho Cordova,57
247.0,4.76,65.09,0.31,3.2,4.81,Bayonne,69
453.95,47.3,46.49,2.59,12.19,15.06,Highlands Ranch,59
403.88,23.99,32.54,0.49,19.09,22.37,Gastonia,57
240.33,0.52,90.12,0.18,0.5,0.72,South San Francisco,137
233.65,1.89,98.71,0.38,1.32,4.56,Yuma,159
253.68,11.82,80.82,1.58,5.27,12.24,Miami Gardens,114
433.92,33.24,22.53,1.91,20.03,25.13,Joliet,59
293.73,18.51,57.22,2.18,3.49,6.22,Modesto,48
427.25,28.1,18.6,0.16,20.57,25.14,Kenosha,60
594.14,77.46,8.58,3.13,10.7,17.39,Scottsdale,96
400.54,27.42,55.79,1.91,6.49,9.73,Providence,47
363.83,17.14,45.78,4.05,19.36,21.43,Lincoln,57
353.81,16.97,60.08,0.63,8.1,8.73,Missoula,53
320.44,21.08,66.52,1.57,9.42,14.57,Alafaya,73
223.64,0.94,108.72,0.4,7.66,39.9,Lubbock,184
310.42,11.48,78.68,3.07,16.58,19.07,Knoxville,109
460.63,30.85,30.4,1.13,25.14,30.03,Palatine,69
720.98,83.63,0.53,6.8,12.03,19.01,Fullerton,102
423.91,56.21,23.6,1.67,13.39,14.26,Ogden,70
313.76,12.68,38.27,0.2,2.53,2.74,Redding,32
273.71,3.94,103.0,2.44,16.47,18.53,Tuscaloosa,170
413.9,40.78,58.65,10.01,21.81,25.6,Dearborn,62
320.44,21.08,66.52,1.57,9.42,14.57,Orlando,73
647.54,87.05,0.66,4.53,14.66,24.24,East Los Angeles,104
647.54,87.05,0.66,4.53,14.66,24.24,Alhambra,104
367.17,15.77,57.22,0.52,14.57,17.24,Greenville,48
460.63,46.61,30.04,1.94,6.33,9.77,Oakland,58
320.44,18.17,40.77,1.42,1.65,2.63,Bellevue,34
257.02,6.86,85.12,1.67,4.37,8.63,Dallas,125
350.48,23.99,22.35,0.61,2.9,4.56,Sunnyvale,29
373.84,18.68,50.78,0.47,14.3,16.5,Roanoke,46
377.18,21.94,60.8,0.81,5.37,9.92,Pawtucket,55
290.39,6.86,90.12,3.34,18.96,20.38,Ann Arbor,137
230.31,0.8,101.57,0.06,0.5,0.54,Brandon,166
240.33,11.65,80.11,1.61,4.52,11.13,Plantation,112
467.3,45.24,20.03,1.61,10.46,13.34,Richmond,56
520.71,46.61,29.33,1.4,13.84,18.86,Hartford,58
280.38,5.83,65.8,0.29,2.96,3.45,Yuba City,71
267.03,6.6,79.39,0.67,8.94,10.23,Fort Myers,110
393.87,39.07,55.79,5.31,8.88,16.72,Miami,48
297.07,15.77,48.64,0.66,2.43,4.37,Manteca,41
357.15,19.71,66.52,1.52,6.48,8.01,Waterbury,73
594.14,55.52,2.77,1.88,26.51,31.92,Overland Park,72
277.04,7.11,66.52,0.08,1.66,4.11,Boise,73
270.37,2.06,85.12,0.28,0.5,0.74,Riverview,125
257.02,10.2,68.67,5.36,5.63,13.11,Conroe,80
200.27,0.49,57.94,0.28,1.3,1.7,San Juan,49
260.35,4.76,65.8,0.34,1.71,2.01,Chico,71
297.07,11.48,34.69,0.06,1.43,1.93,Santa Rosa,29
423.91,42.16,18.77,1.25,5.61,8.16,Santa Monica,52
257.02,4.5,98.71,0.98,8.1,11.58,North Richland Hills,159
447.27,52.78,0.24,4.35,15.58,17.95,West Jordan,65
447.27,26.05,25.03,0.21,16.59,19.37,Sioux City,52
1108.17,89.11,0.0,2.65,47.44,64.14,Cicero,114
363.83,21.59,57.94,1.59,5.57,8.34,Worcester,49
330.45,30.5,61.51,5.42,7.32,9.27,Ontario,57
507.36,52.78,36.84,4.05,13.04,17.48,Washington,65
453.95,38.04,25.39,1.45,22.25,27.17,Independence,63
236.99,1.61,83.69,0.87,10.66,12.8,Abilene,121
507.36,40.44,11.36,0.45,15.33,20.26,Durham,50
397.21,44.55,32.9,3.01,8.41,11.4,Rancho Cucamonga,55
236.99,2.42,83.69,0.09,3.85,8.5,Temple,121
240.33,2.64,65.8,0.04,0.74,1.25,Clovis,71
263.69,11.48,87.98,1.25,5.24,11.23,Delray Beach,132
273.71,31.19,52.93,7.03,30.22,37.78,Bethlehem,79
317.1,7.54,50.78,0.12,5.87,6.62,Yakima,43
720.98,83.63,0.53,6.8,12.03,19.01,Anaheim,102
413.9,42.16,55.79,8.58,22.81,26.6,Warren,64
453.95,63.06,15.74,3.1,9.11,15.09,Baldwin Park,78
280.38,6.68,67.23,0.45,0.5,0.6,Bellingham,75
253.68,2.31,63.66,0.08,0.54,1.05,Salem,64
293.73,15.08,56.51,0.92,7.62,11.55,Murrieta,47
240.33,3.68,77.96,0.26,2.5,4.28,Vista,107
594.14,47.3,1.15,0.35,22.63,27.67,Milwaukee,64
423.91,54.84,32.9,8.23,4.36,8.69,Irvine,68
453.95,37.7,20.56,2.77,14.28,16.82,Charleston,47
507.36,37.36,12.88,1.03,30.03,33.69,Maple Grove,79
360.49,25.02,59.37,1.49,6.59,9.19,Danbury,51
413.9,42.16,55.79,8.58,22.81,26.6,Sterling Heights,64
357.15,32.9,75.82,6.02,8.3,10.44,Moreno Valley,102
213.62,0.94,67.95,0.04,0.5,0.63,Santa Barbara,77
283.72,7.37,87.98,1.52,8.3,9.68,Lexington-Fayette  county,132
440.6,34.96,47.21,2.35,8.56,13.47,Framingham,43
480.65,44.55,37.55,2.41,10.16,14.52,Lowell,55
440.6,52.09,22.89,2.89,5.43,9.58,South Gate,65
273.71,11.14,72.96,2.35,5.4,13.32,Houston,93
337.12,14.91,43.63,0.94,3.93,5.32,Kennewick,36
347.14,18.17,68.67,1.91,12.22,14.31,Scranton,80
433.92,54.15,31.83,4.05,11.56,13.19,Orem,67
317.1,16.97,67.23,1.71,7.51,10.96,Jacksonville,75
303.75,8.91,82.97,1.79,17.17,20.81,Chattanooga,119
330.45,12.34,70.1,0.69,3.05,5.75,Fall River,84
320.44,13.88,50.78,1.86,1.62,1.88,Victoria,43
240.33,1.39,103.0,1.13,0.84,2.54,Hampton,170
507.36,55.52,21.82,2.09,6.54,11.9,Las Vegas,69
654.22,69.92,0.62,2.86,12.86,19.92,Hollywood,87
360.49,19.54,62.94,3.73,19.52,24.4,Johns Creek,62
240.33,1.09,82.25,0.97,13.05,15.47,San Angelo,118
560.76,46.61,0.95,2.44,20.82,23.57,Davenport,60
440.6,52.09,22.89,2.89,5.43,9.58,Compton,65
270.37,8.48,88.69,1.39,6.37,10.06,Frisco,134
527.38,41.47,10.91,0.56,24.6,31.09,Waukegan,68
383.85,31.19,61.51,6.02,21.74,25.25,Rochester Hills,62
243.66,2.51,82.25,1.09,4.53,12.48,Brownsville,118
260.35,1.44,43.99,1.1,1.74,4.35,Saint George,37
307.08,17.48,39.34,0.69,2.25,4.09,Livermore,33
1615.52,91.85,0.0,4.35,76.33,88.55,Eagan,156
337.12,14.91,43.63,0.94,3.93,5.32,Pasco,36
330.45,30.5,61.51,5.42,7.32,9.27,Upland,57
267.03,3.68,69.38,1.21,8.24,11.7,Jonesboro,82
233.65,3.26,84.4,0.19,3.76,9.61,San Marcos,123
554.09,70.6,27.18,3.79,14.59,20.67,Ellicott City,88
253.68,3.21,85.12,0.73,7.0,10.93,Deltona,125
300.41,6.86,87.26,2.86,16.27,17.53,Rochester,130
367.17,16.45,39.34,0.3,12.53,14.05,Omaha,40
447.27,52.78,0.24,4.35,15.58,17.95,West Valley City,65
720.98,83.63,0.53,6.8,12.03,19.01,Buena Park,102
367.17,16.45,61.51,1.33,6.81,9.96,Stamford,57
330.45,13.37,72.24,0.95,3.69,5.16,Lynn,91
313.76,13.2,88.69,3.93,10.0,11.07,Lorain,134
226.97,1.71,80.82,0.32,1.91,2.63,Weston,114
260.35,7.37,40.05,0.02,0.82,1.82,Oxnard,33
427.25,32.22,21.28,1.36,23.69,29.42,Aurora,66
327.11,16.11,67.95,1.01,9.38,11.97,Temecula,77
287.06,14.05,55.08,0.07,1.88,7.69,Goodyear,46
270.37,4.28,76.53,0.51,13.21,14.96,Norman,103
377.18,37.01,65.09,5.72,11.59,13.34,San Bernardino,69
333.79,26.39,55.79,6.2,2.49,5.62,Long Beach,47
507.36,50.04,35.41,3.43,11.03,14.24,Cranston,62
267.03,9.34,75.82,1.24,1.03,1.73,Santa Clara,102
1842.5,120.64,0.0,16.45,97.49,125.53,Newark,168
640.87,51.41,0.29,0.94,25.66,30.41,Des Moines,70
333.79,22.62,36.84,0.57,2.38,5.46,San Mateo,31
171.9,0.25,26.11,0.11,0.83,1.28,Ponce,22
313.76,25.36,75.82,5.9,4.38,6.38,Corona,102
440.6,58.95,38.98,2.24,5.79,10.71,Henderson,73
320.44,15.77,67.23,0.78,4.68,6.11,Escondido,75
320.44,17.14,98.71,4.35,10.42,12.08,Hemet,159
277.04,3.04,67.95,0.19,0.5,0.61,Marysville,77
307.08,12.68,52.21,0.88,1.68,2.57,Portland,44
714.3,83.63,1.38,1.62,27.71,31.5,Pittsburgh,102
774.38,80.2,0.0,1.82,33.85,41.81,Skokie,100
250.34,2.06,82.97,0.74,12.85,14.72,Wichita Falls,119
287.06,13.02,46.49,0.12,2.38,3.44,Visalia,39
417.23,38.04,47.21,2.56,9.4,13.39,Rockville,47
267.03,14.05,68.67,8.46,5.72,13.84,Spring Valley,80
317.1,7.71,91.55,1.27,13.74,16.3,Mobile,141
333.79,11.31,59.37,1.16,18.34,20.89,Springfield,55
317.1,10.37,72.96,0.33,2.34,4.18,New Bedford,93
297.07,21.59,73.67,2.33,6.16,12.85,Fort Lauderdale,95
243.66,3.68,82.25,0.82,4.77,12.47,Pearland,118
377.18,37.01,65.09,5.72,11.59,13.34,Rialto,69
257.02,4.84,67.23,1.37,0.5,0.69,Tacoma,75
297.07,7.54,98.71,5.01,12.67,14.58,Evansville,159
290.39,5.57,90.12,2.15,15.35,17.91,Mount Vernon,137
2029.42,100.08,0.0,16.21,105.35,137.54,Bk,173
337.12,21.76,58.65,2.27,4.8,6.42,Citrus Heights,49
247.0,2.49,91.55,0.75,6.71,12.47,Palm Bay,141
363.83,17.14,60.08,1.7,19.21,22.32,Saint Charles,57
330.45,19.54,45.78,2.24,1.97,2.87,Everett,38
260.35,2.83,72.24,0.35,12.82,14.34,Lawton,91
1201.63,126.12,0.0,9.06,49.64,78.68,Yonkers,126
240.33,12.85,80.11,1.73,4.32,10.34,Coral Springs,112
200.27,0.79,87.26,0.19,2.14,11.04,Albuquerque,130
988.01,68.55,0.0,3.22,48.74,57.27,Minneapolis,116
337.12,18.17,65.09,2.09,6.68,9.3,Frederick,69
263.69,6.0,78.68,3.01,7.52,9.28,Gainesville,109
480.65,45.93,13.77,0.46,11.65,13.64,Sioux Falls,57
417.23,35.99,47.21,3.25,8.13,10.65,Nashua,44
263.69,6.51,52.21,0.72,2.26,2.62,Kent,44
323.77,8.74,67.95,1.73,18.82,21.4,O'Fallon,77
